,val,sample,epoch,train_loss,train_acc,test_loss,test_acc
0,1,1,1,2.4465518491363527,0.1,2.441667138290405,0.1
1,1,1,2,2.438783983078003,0.1,2.4347377109527586,0.1
2,1,1,3,2.432554807815552,0.1,2.42926256942749,0.1
3,1,1,4,2.427580385131836,0.1,2.4248781227111817,0.1
4,1,1,5,2.423570577545166,0.1,2.4213329414367677,0.1
5,1,1,6,2.4202780725860595,0.1,2.418385968399048,0.1
6,1,1,7,2.4175061437988283,0.1,2.4158230918884276,0.1
7,1,1,8,2.415055465545654,0.1,2.413559107589722,0.1
8,1,1,9,2.4128360694885256,0.1,2.411436781692505,0.1
9,1,1,10,2.4107517723083496,0.1,2.409433060836792,0.1
10,1,1,11,2.408764881820679,0.1,2.4074973594665527,0.1
11,1,1,12,2.4068389976501465,0.1,2.405597001647949,0.1
12,1,1,13,2.4049506758117674,0.1,2.4037401111602783,0.1
13,1,1,14,2.4030986179351808,0.1,2.4019115051269533,0.1
14,1,1,15,2.401272406387329,0.1,2.4000939235687255,0.1
15,1,1,16,2.39946982963562,0.1,2.398301286315918,0.1
16,1,1,17,2.3976838006591796,0.1,2.3965435974121094,0.1
17,1,1,18,2.3959215251922608,0.1,2.3947828594207765,0.1
18,1,1,19,2.3941740344238283,0.1,2.393047694015503,0.1
19,1,1,20,2.3924449185943604,0.1,2.3913245517730712,0.1
20,1,1,21,2.3907331220245363,0.1,2.3896106258392336,0.1
21,1,1,22,2.3890264156341554,0.1,2.387920446777344,0.1
22,1,1,23,2.3873392487335203,0.1,2.3862513416290283,0.1
23,1,1,24,2.3856736456298826,0.1,2.384569448852539,0.1
24,1,1,25,2.384002557296753,0.1,2.382914965057373,0.1
25,1,2,1,2.4547541509246824,0.1124,2.451647302246094,0.1144
26,1,2,2,2.450706124420166,0.11758,2.4478694511413575,0.1188
27,1,2,3,2.4470194521331785,0.12132,2.444279693603516,0.1214
28,1,2,4,2.4434870989990234,0.12298,2.4407579162597655,0.1235
29,1,2,5,2.4400308949279785,0.1248,2.4373187324523924,0.1249
30,1,2,6,2.4366314153289794,0.12544,2.433915606689453,0.1253
31,1,2,7,2.4332711573791506,0.12506,2.43052255859375,0.1247
32,1,2,8,2.429949700393677,0.12468,2.427182526397705,0.1237
33,1,2,9,2.42665415435791,0.12302,2.423873248672485,0.1228
34,1,2,10,2.4234026805114746,0.1229,2.420595548629761,0.1229
35,1,2,11,2.420178515625,0.1223,2.4173638866424563,0.1223
36,1,2,12,2.4169957454681397,0.12098,2.4141633785247802,0.1217
37,1,2,13,2.4138498475646974,0.12024,2.4109891284942626,0.1208
38,1,2,14,2.410733807144165,0.11974,2.4078566654205322,0.1202
39,1,2,15,2.4076581186676025,0.11872,2.404767625427246,0.1186
40,1,2,16,2.4046245976257326,0.11828,2.401716154098511,0.1184
41,1,2,17,2.4016247776031494,0.11722,2.398696029663086,0.1171
42,1,2,18,2.3986683795928956,0.1164,2.395725555038452,0.117
43,1,2,19,2.395747523651123,0.11538,2.3927756843566894,0.1153
44,1,2,20,2.392864840774536,0.11564,2.3898871601104736,0.1153
45,1,2,21,2.390016158828735,0.11526,2.3870372688293457,0.1147
46,1,2,22,2.3872213468170167,0.1142,2.3842094192504883,0.1136
47,1,2,23,2.384449318084717,0.11406,2.38143913230896,0.1136
48,1,2,24,2.381729421081543,0.11414,2.378696192550659,0.113
49,1,2,25,2.379052350463867,0.11336,2.375994871520996,0.1127
50,1,3,1,2.386314458618164,0.1,2.385536845397949,0.1
51,1,3,2,2.384784487762451,0.1,2.3840210273742675,0.1
52,1,3,3,2.3832854148101807,0.1,2.3825360832214355,0.1
