,val,sample,epoch,train_loss,train_acc,test_loss,test_acc
0,1,1,1,2.5466703707885743,0.1,2.544949269104004,0.1
1,1,1,2,2.5433457020568846,0.1,2.541719950866699,0.1
2,1,1,3,2.540185652999878,0.1,2.538623552703857,0.1
3,1,1,4,2.5371371573638917,0.1,2.5355904678344725,0.1
4,1,1,5,2.5341498526763915,0.1,2.5326567317962647,0.1
5,1,1,6,2.53123934173584,0.1,2.5297608242034912,0.1
6,1,1,7,2.528377924423218,0.1,2.526917121887207,0.1
7,1,1,8,2.5255584243774414,0.1,2.5241101833343507,0.1
8,1,1,9,2.5227648877716065,0.1,2.5213419780731203,0.1
9,1,1,10,2.520003990097046,0.1,2.518586918640137,0.1
10,1,1,11,2.5172652796936035,0.1,2.5158579933166503,0.1
11,1,1,12,2.5145510903930663,0.1,2.5131573810577392,0.1
12,1,1,13,2.5118601528167726,0.1,2.510479477310181,0.1
13,1,1,14,2.509191647491455,0.1,2.5078320022583007,0.1
14,1,1,15,2.506551081085205,0.1,2.505187250137329,0.1
15,1,1,16,2.5039290475463867,0.1,2.502576775741577,0.1
16,1,1,17,2.501328052062988,0.1,2.4999965175628662,0.1
17,1,1,18,2.498753296508789,0.1,2.4974282806396486,0.1
18,1,1,19,2.496198067550659,0.1,2.4948856464385987,0.1
19,1,1,20,2.4936645906829833,0.1,2.4923610260009768,0.1
20,1,1,21,2.491152890396118,0.1,2.489855213165283,0.1
21,1,1,22,2.4886588179779054,0.1,2.4873780536651613,0.1
22,1,1,23,2.486189862060547,0.1,2.484910150909424,0.1
23,1,1,24,2.4837357179260255,0.1,2.4824716152191164,0.1
24,1,1,25,2.4813046282196045,0.1,2.480046132278442,0.1
25,1,2,1,2.330220050201416,0.1,2.3296914360046386,0.1
26,1,2,2,2.328650376739502,0.1,2.328363432312012,0.1
27,1,2,3,2.3275206805419923,0.1,2.3272801979064943,0.1
28,1,2,4,2.326530591430664,0.1,2.3262967586517336,0.1
29,1,2,5,2.325549568557739,0.1,2.3253322204589844,0.1
30,1,2,6,2.324596633911133,0.1,2.3243814247131347,0.1
31,1,2,7,2.323659524612427,0.1,2.3234529064178466,0.1
32,1,2,8,2.3227299865722655,0.1,2.322541302108765,0.1
33,1,2,9,2.3218093560791018,0.1,2.321651926422119,0.1
34,1,2,10,2.3209063510131838,0.1,2.3207594776153564,0.1
35,1,2,11,2.3200090760803223,0.1,2.31988317489624,0.1
36,1,2,12,2.3191274404907225,0.1,2.3190038547515868,0.1
37,1,2,13,2.318250860900879,0.1,2.318150100708008,0.1
38,1,2,14,2.3173886070251464,0.1,2.317298202896118,0.1
39,1,2,15,2.316530841445923,0.1,2.3164619800567627,0.0999
40,1,2,16,2.315678237991333,0.09998,2.315612794494629,0.0999
41,1,2,17,2.3148298937988283,0.09994,2.314782623291016,0.0999
42,1,2,18,2.313998341140747,0.09978,2.3139535457611085,0.0999
43,1,2,19,2.3131630268096925,0.09976,2.3131325412750243,0.0997
44,1,2,20,2.3123408392333986,0.09978,2.312312056350708,0.0996
45,1,2,21,2.3115086443328856,0.09976,2.311509051132202,0.1
46,1,2,22,2.3107012539672853,0.10072,2.3106970825195314,0.1003
47,1,2,23,2.3098808262634276,0.10258,2.3099034351348875,0.1032
48,1,2,24,2.309066632003784,0.10508,2.3090938163757326,0.1048
49,1,2,25,2.3082635929870605,0.10796,2.3082997852325438,0.108
50,1,3,1,2.4578988092041016,0.1,2.4557444286346435,0.1
51,1,3,2,2.453168640899658,0.1,2.450408041381836,0.1
52,1,3,3,2.448319708557129,0.1,2.446019867324829,0.1
53,1,3,4,2.4443767428588865,0.1,2.4424710460662844,0.1
54,1,3,5,2.4410259883117678,0.1,2.4393098064422607,0.1
55,1,3,6,2.4379836966705324,0.1,2.436373713302612,0.1
56,1,3,7,2.4351220553588866,0.1,2.4335748596191404,0.1
57,1,3,8,2.4323771784973145,0.1,2.430873495101929,0.1
58,1,3,9,2.429714966430664,0.1,2.4282649955749513,0.1
59,1,3,10,2.427129207687378,0.1,2.425682894515991,0.1
60,1,3,11,2.4245908602142334,0.1,2.4231820781707762,0.1
61,1,3,12,2.4221108883666993,0.1,2.420714994430542,0.1
62,1,3,13,2.4196763932800294,0.1,2.418320039367676,0.1
